sub,prediction via,number of runs,Pearson's r
sub-01,audio-description,1,0.16389127514556248
sub-02,audio-description,1,0.1743116088821617
sub-03,audio-description,1,0.17878238975141114
sub-04,audio-description,1,-0.058112007630878856
sub-05,audio-description,1,0.057659769568725525
sub-06,audio-description,1,0.2552150079396152
sub-09,audio-description,1,0.28138954579807646
sub-14,audio-description,1,0.07882522184845228
sub-15,audio-description,1,0.3177830239885194
sub-16,audio-description,1,0.20564876619071065
sub-17,audio-description,1,0.40848260908162837
sub-18,audio-description,1,0.42411175020236497
sub-19,audio-description,1,0.49848664135258475
sub-20,audio-description,1,0.2676759309349812
sub-01,audio-description,2,0.26852304780056746
sub-02,audio-description,2,0.25484337764641557
sub-03,audio-description,2,0.3227739941866114
sub-04,audio-description,2,0.434435383281199
sub-05,audio-description,2,0.1530604111044874
sub-06,audio-description,2,0.40150549626932186
sub-09,audio-description,2,0.4935620029519183
sub-14,audio-description,2,0.431527812160749
sub-15,audio-description,2,0.5775273935969695
sub-16,audio-description,2,0.22971652061506292
sub-17,audio-description,2,0.511278677913317
sub-18,audio-description,2,0.3353330829153807
sub-19,audio-description,2,0.5013375975912946
sub-20,audio-description,2,0.3985316709363082
sub-01,audio-description,3,0.302745115920454
sub-02,audio-description,3,0.2671241800567777
sub-03,audio-description,3,0.3509407980980921
sub-04,audio-description,3,0.27073628196426575
sub-05,audio-description,3,0.24029868623738826
sub-06,audio-description,3,0.40941345362267595
sub-09,audio-description,3,0.4765264953448821
sub-14,audio-description,3,0.4931467314143791
sub-15,audio-description,3,0.5338699642521628
sub-16,audio-description,3,0.1684777254160367
sub-17,audio-description,3,0.5893024983513996
sub-18,audio-description,3,0.35745820060019007
sub-19,audio-description,3,0.5301786709878633
sub-20,audio-description,3,0.5500860227675176
sub-01,audio-description,4,0.38183419114626893
sub-02,audio-description,4,0.3258175695620494
sub-03,audio-description,4,0.4328049394304941
sub-04,audio-description,4,0.10362655067469358
sub-05,audio-description,4,0.3349128956533418
sub-06,audio-description,4,0.4848830864777305
sub-09,audio-description,4,0.4898718286800924
sub-14,audio-description,4,0.554373178709056
sub-15,audio-description,4,0.5438433681755608
sub-16,audio-description,4,0.23406231527721863
sub-17,audio-description,4,0.6156387169925769
sub-18,audio-description,4,0.3921244164108397
sub-19,audio-description,4,0.5496168030580861
sub-20,audio-description,4,0.5334113051238584
sub-01,audio-description,5,0.3809620291461632
sub-02,audio-description,5,0.32444741737810845
sub-03,audio-description,5,0.44035719915671273
sub-04,audio-description,5,0.2659911307552343
sub-05,audio-description,5,0.4607334318700226
sub-06,audio-description,5,0.4829822647609188
sub-09,audio-description,5,0.533821206189451
sub-14,audio-description,5,0.6004947817238907
sub-15,audio-description,5,0.5218212777504248
sub-16,audio-description,5,0.3084928693353687
sub-17,audio-description,5,0.6321953434122883
sub-18,audio-description,5,0.4773614176640437
sub-19,audio-description,5,0.569850049330425
sub-20,audio-description,5,0.5720733207721761
sub-01,audio-description,6,0.3607787928494932
sub-02,audio-description,6,0.33560337769766263
sub-03,audio-description,6,0.49014222633256965
sub-04,audio-description,6,0.4948090741199585
sub-05,audio-description,6,0.40038215374188735
sub-06,audio-description,6,0.49038075134152603
sub-09,audio-description,6,0.581880473143808
sub-14,audio-description,6,0.6274586621743844
sub-15,audio-description,6,0.556646561016439
sub-16,audio-description,6,0.40164730466067994
sub-17,audio-description,6,0.6296253013880192
sub-18,audio-description,6,0.5006459505849965
sub-19,audio-description,6,0.6588664859641923
sub-20,audio-description,6,0.5568769176373193
sub-01,audio-description,7,0.4609177197702852
sub-02,audio-description,7,0.40208873978503684
sub-03,audio-description,7,0.49417565760342835
sub-04,audio-description,7,0.5402620590068166
sub-05,audio-description,7,0.45064245569973577
sub-06,audio-description,7,0.48732205628202957
sub-09,audio-description,7,0.6178986972442699
sub-14,audio-description,7,0.6948114697660355
sub-15,audio-description,7,0.5163811174033474
sub-16,audio-description,7,0.44047140451144207
sub-17,audio-description,7,0.6909319767428254
sub-18,audio-description,7,0.5208794109338148
sub-19,audio-description,7,0.6605532668341904
sub-20,audio-description,7,0.5815668138392546
sub-01,audio-description,8,0.46611665059618346
sub-02,audio-description,8,0.40817459330350975
sub-03,audio-description,8,0.482870350607593
sub-04,audio-description,8,0.5477774570334758
sub-05,audio-description,8,0.4669588147874267
sub-06,audio-description,8,0.48976535837803803
sub-09,audio-description,8,0.6163916095195596
sub-14,audio-description,8,0.6881939967941512
sub-15,audio-description,8,0.5248109339257231
sub-16,audio-description,8,0.40195609568213786
sub-17,audio-description,8,0.6887399047303112
sub-18,audio-description,8,0.5449337376568244
sub-19,audio-description,8,0.6358543133317986
sub-20,audio-description,8,0.6004600726228204
sub-01,movie,1,0.6987608185303739
sub-02,movie,1,0.7922764509044108
sub-03,movie,1,0.7107270122336388
sub-04,movie,1,0.7656820141062123
sub-05,movie,1,0.6950733641452262
sub-06,movie,1,0.7091529987436577
sub-09,movie,1,0.6436371101088035
sub-14,movie,1,0.706414430944682
sub-15,movie,1,0.7898792917870644
sub-16,movie,1,0.7109124146047407
sub-17,movie,1,0.7788743357009577
sub-18,movie,1,0.6445334106983105
sub-19,movie,1,0.8022137159215776
sub-20,movie,1,0.5483041175409002
sub-01,movie,2,0.7338538839293385
sub-02,movie,2,0.8288231388673497
sub-03,movie,2,0.7410173060586583
sub-04,movie,2,0.8007495689286427
sub-05,movie,2,0.7505462384084877
sub-06,movie,2,0.7494626495507513
sub-09,movie,2,0.6808904137840535
sub-14,movie,2,0.8084554170671683
sub-15,movie,2,0.7775829579844463
sub-16,movie,2,0.7422470219804981
sub-17,movie,2,0.8175136238876812
sub-18,movie,2,0.6665588381050763
sub-19,movie,2,0.8360641212951099
sub-20,movie,2,0.664266708366038
sub-01,movie,3,0.7093491853462853
sub-02,movie,3,0.812877348463563
sub-03,movie,3,0.7405632964873708
sub-04,movie,3,0.7999763015816431
sub-05,movie,3,0.7582988848343231
sub-06,movie,3,0.7390097531808407
sub-09,movie,3,0.7090312720734053
sub-14,movie,3,0.7994022459029542
sub-15,movie,3,0.7966800053654984
sub-16,movie,3,0.742927527053956
sub-17,movie,3,0.8195040262331703
sub-18,movie,3,0.6748667040902881
sub-19,movie,3,0.8363755428883338
sub-20,movie,3,0.6758543773294082
sub-01,movie,4,0.7121791690864847
sub-02,movie,4,0.8061936296271508
sub-03,movie,4,0.756459650807484
sub-04,movie,4,0.8023849948367118
sub-05,movie,4,0.7525232689463893
sub-06,movie,4,0.746838723571088
sub-09,movie,4,0.7205888981095635
sub-14,movie,4,0.8007199643424505
sub-15,movie,4,0.796342011911493
sub-16,movie,4,0.7498613787293908
sub-17,movie,4,0.7958082273339481
sub-18,movie,4,0.6905555945530164
sub-19,movie,4,0.8439811019830098
sub-20,movie,4,0.6841080893258142
sub-01,movie,5,0.7248302673405465
sub-02,movie,5,0.805335969639961
sub-03,movie,5,0.7539706800782373
sub-04,movie,5,0.820871406671361
sub-05,movie,5,0.7684877758096422
sub-06,movie,5,0.7689363996068758
sub-09,movie,5,0.7448744223501846
sub-14,movie,5,0.8123452971640058
sub-15,movie,5,0.8043277305246099
sub-16,movie,5,0.7589487005768715
sub-17,movie,5,0.8052472551908257
sub-18,movie,5,0.6956126347285018
sub-19,movie,5,0.8405960251608472
sub-20,movie,5,0.7081688757226177
sub-01,movie,6,0.7258349649538702
sub-02,movie,6,0.8037828352562699
sub-03,movie,6,0.7541557572808019
sub-04,movie,6,0.8123964138248214
sub-05,movie,6,0.7751822681545635
sub-06,movie,6,0.7756484101109219
sub-09,movie,6,0.7532482058883785
sub-14,movie,6,0.7871487131486565
sub-15,movie,6,0.7934603927067189
sub-16,movie,6,0.7676460677331843
sub-17,movie,6,0.821946067564289
sub-18,movie,6,0.7001052462638448
sub-19,movie,6,0.8448946079825541
sub-20,movie,6,0.7423202921488965
sub-01,movie,7,0.7138370019479844
sub-02,movie,7,0.8049124216529688
sub-03,movie,7,0.755120033010308
sub-04,movie,7,0.8109593628440995
sub-05,movie,7,0.7866689159737698
sub-06,movie,7,0.774079319430979
sub-09,movie,7,0.762014580627711
sub-14,movie,7,0.7618090871321951
sub-15,movie,7,0.7761396870332172
sub-16,movie,7,0.768591996681623
sub-17,movie,7,0.8313790212871006
sub-18,movie,7,0.7055411675470815
sub-19,movie,7,0.8507259997947759
sub-20,movie,7,0.7338075155064436
sub-01,movie,8,0.7158578656173771
sub-02,movie,8,0.8044119915078856
sub-03,movie,8,0.7584381658294554
sub-04,movie,8,0.811658848487786
sub-05,movie,8,0.783309589850517
sub-06,movie,8,0.7833054681834039
sub-09,movie,8,0.7707787915399726
sub-14,movie,8,0.767985447266606
sub-15,movie,8,0.7762293301673114
sub-16,movie,8,0.7756428708658409
sub-17,movie,8,0.8374016127176517
sub-18,movie,8,0.7095691249182453
sub-19,movie,8,0.8472701908016339
sub-20,movie,8,0.7309928593587893
sub-01,visual localizer,1,0.8069901028062606
sub-02,visual localizer,1,0.799334760722507
sub-03,visual localizer,1,0.8658293648321441
sub-04,visual localizer,1,0.8100625586959659
sub-05,visual localizer,1,0.8073785025474316
sub-06,visual localizer,1,0.780197376734724
sub-09,visual localizer,1,0.7701833126171161
sub-14,visual localizer,1,0.8323068190502839
sub-15,visual localizer,1,0.7574439697558999
sub-16,visual localizer,1,0.8232711663919365
sub-17,visual localizer,1,0.8256140228889052
sub-18,visual localizer,1,0.723502151224154
sub-19,visual localizer,1,0.7889201435536771
sub-20,visual localizer,1,0.6375708912414277
sub-01,visual localizer,2,0.8041561385796498
sub-02,visual localizer,2,0.8521471669042417
sub-03,visual localizer,2,0.8839396735483734
sub-04,visual localizer,2,0.9049458352732404
sub-05,visual localizer,2,0.8631948783698888
sub-06,visual localizer,2,0.8338280383747615
sub-09,visual localizer,2,0.8390242080265712
sub-14,visual localizer,2,0.8696481531144697
sub-15,visual localizer,2,0.8600613124921792
sub-16,visual localizer,2,0.8517463419192844
sub-17,visual localizer,2,0.8455065524068724
sub-18,visual localizer,2,0.7812255589956729
sub-19,visual localizer,2,0.8151972515833156
sub-20,visual localizer,2,0.7370190010460307
sub-01,visual localizer,3,0.8315361753807788
sub-02,visual localizer,3,0.8801585625094338
sub-03,visual localizer,3,0.8861311710470717
sub-04,visual localizer,3,0.8921933517745108
sub-05,visual localizer,3,0.888283450665412
sub-06,visual localizer,3,0.8609752117017151
sub-09,visual localizer,3,0.8585984678414208
sub-14,visual localizer,3,0.891929948055562
sub-15,visual localizer,3,0.8591562775195315
sub-16,visual localizer,3,0.8730742804045142
sub-17,visual localizer,3,0.8924385607604229
sub-18,visual localizer,3,0.7845346018745801
sub-19,visual localizer,3,0.846430284954223
sub-20,visual localizer,3,0.7671431065829709
sub-01,visual localizer,4,0.8446692600860606
sub-02,visual localizer,4,0.8912300220583602
sub-03,visual localizer,4,0.872162010917291
sub-04,visual localizer,4,0.8999301753698359
sub-05,visual localizer,4,0.9242039658160964
sub-06,visual localizer,4,0.8700575518501703
sub-09,visual localizer,4,0.8599438381903305
sub-14,visual localizer,4,0.9169284038887244
sub-15,visual localizer,4,0.8571086454028187
sub-16,visual localizer,4,0.8713880947409646
sub-17,visual localizer,4,0.9017745814358481
sub-18,visual localizer,4,0.8108824908737474
sub-19,visual localizer,4,0.87582254755355
sub-20,visual localizer,4,0.8593280705221672
sub-01,anatomical alignment,0,0.4984987783215386
sub-02,anatomical alignment,0,0.4988745779015759
sub-03,anatomical alignment,0,0.5356390172236936
sub-04,anatomical alignment,0,0.7028950435680955
sub-05,anatomical alignment,0,0.6630932790878055
sub-06,anatomical alignment,0,0.5345132114254662
sub-09,anatomical alignment,0,0.4924359958582007
sub-14,anatomical alignment,0,0.5416696229730491
sub-15,anatomical alignment,0,0.6456860128532262
sub-16,anatomical alignment,0,0.46728477076774066
sub-17,anatomical alignment,0,0.613871943177629
sub-18,anatomical alignment,0,0.5894206034178097
sub-19,anatomical alignment,0,0.6812064015685031
sub-20,anatomical alignment,0,0.5774591029837042
